ranker,player,,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
38,Muggsy Bogues,Muggsy Bogues,PG,28,CHH,CHH,81,2833,14.5,.503,.036,.230,2.0,8.9,5.6,32.5,2.7,0.1,16.1,13.9,,3.6,2.3,5.9,.100,,0.1,0.6,0.8,2.0
39,Manute Bol,Manute Bol,C,30,PHI,PHI,58,855,8.5,.465,.252,.150,5.6,18.8,12.2,2.8,0.8,8.2,27.0,9.2,,-0.9,1.1,0.2,.013,,-4.8,2.6,-2.2,0.0
40,Walter Bond,Walter Bond,SG,23,DAL,DAL,74,1578,9.0,.462,.074,.296,3.3,10.8,6.7,11.8,2.3,0.7,14.9,19.4,,-1.2,0.4,-0.8,-0.024,,-4.4,-0.6,-5.0,-1.2
41,Anthony Bonner,Anthony Bonner,PF,24,SAC,SAC,70,1764,12.3,.498,.014,.485,11.4,17.5,14.3,7.6,2.3,0.6,14.8,16.4,,0.6,1.8,2.4,.067,,-1.8,-0.5,-2.4,-0.2
42,Anthony Bowie,Anthony Bowie,SG,29,ORL,ORL,77,1761,11.2,.510,.084,.148,2.5,9.6,6.2,14.9,1.5,0.5,12.2,16.9,,0.9,1.6,2.5,.069,,-1.5,0.3,-1.2,0.3
43,Sam Bowie,Sam Bowie,C,31,NJN,NJN,79,2092,13.2,.500,.009,.284,8.2,20.9,14.5,8.8,0.8,3.8,14.3,16.8,,0.9,3.3,4.3,.098,,-1.8,1.4,-0.4,0.8
44,Terrell Brandon,Terrell Brandon,PG,22,CLE,CLE,82,1622,16.7,.530,.068,.230,2.7,9.6,6.3,27.4,2.5,1.0,13.5,21.6,,1.9,2.1,3.9,.117,,0.5,0.8,1.3,1.3
45,Randy Breuer,Randy Breuer,C,32,ATL,ATL,12,107,11.1,.482,.000,.161,10.0,19.5,14.6,7.8,0.9,1.8,13.1,14.8,,0.0,0.1,0.1,.052,,-3.0,-0.3,-3.3,0.0
46,Frank Brickowski,Frank Brickowski,C,33,MIL,MIL,66,2075,17.0,.584,.031,.321,6.6,16.0,11.3,15.5,1.9,1.4,17.5,23.9,,1.9,1.8,3.7,.085,,0.3,-0.3,0.0,1.1
47,Kevin Brooks,Kevin Brooks,SF,23,DEN,DEN,55,571,8.4,.453,.112,.172,4.1,11.0,7.5,8.7,0.8,0.2,13.5,20.7,,-0.4,0.5,0.0,.002,,-3.6,-2.0,-5.6,-0.5
